first,second,third
schnellzug,donnerte,in
donnerte,in,die
in,die,entgegengesetzte
die,entgegengesetzte,richtung
entgegengesetzte,richtung,vorbei
richtung,vorbei,sie
vorbei,sie,kommen
sie,kommen,schon
kommen,schon,zurück
schon,zurück,fragte
zurück,fragte,der
fragte,der,kleine
der,kleine,prinz
kleine,prinz,das
prinz,das,sind
das,sind,nicht
sind,nicht,dieselben
nicht,dieselben,sagte
dieselben,sagte,der
sagte,der,weichensteller
der,weichensteller,sie
weichensteller,sie,wurden
sie,wurden,ausgetauscht
wurden,ausgetauscht,waren
ausgetauscht,waren,sie
waren,sie,nicht
sie,nicht,zufrieden
nicht,zufrieden,dort
zufrieden,dort,wo
dort,wo,sie
wo,sie,waren
sie,waren,man
waren,man,ist
man,ist,niemals
ist,niemals,dort
niemals,dort,zufrieden
dort,zufrieden,wo
zufrieden,wo,man
wo,man,ist
man,ist,sagte
ist,sagte,der
sagte,der,weichensteller
der,weichensteller,und
weichensteller,und,der
und,der,donner
der,donner,eines
donner,eines,dritten
eines,dritten,schnellzugs
dritten,schnellzugs,grollte
schnellzugs,grollte,verfolgen
grollte,verfolgen,sie
verfolgen,sie,die
sie,die,ersten
die,ersten,reisenden
ersten,reisenden,fragte
reisenden,fragte,der
fragte,der,kleine
der,kleine,prinz
kleine,prinz,sie
prinz,sie,verfolgen
sie,verfolgen,gar
verfolgen,gar,nichts
gar,nichts,sagte
nichts,sagte,der
sagte,der,weichensteller
der,weichensteller,sie
weichensteller,sie,schlafen
sie,schlafen,im
schlafen,im,inneren
im,inneren,oder
inneren,oder,sie
oder,sie,gähnen
sie,gähnen,nur
gähnen,nur,die
nur,die,kinder
die,kinder,drücken
kinder,drücken,ihre
drücken,ihre,nasen
ihre,nasen,an
nasen,an,den
an,den,scheiben
den,scheiben,platt
scheiben,platt,nur
platt,nur,die
nur,die,kinder
die,kinder,wissen
kinder,wissen,wohin
wissen,wohin,sie
wohin,sie,wollen
sie,wollen,sagte
wollen,sagte,der
sagte,der,kleine
der,kleine,prinz
kleine,prinz,sie
prinz,sie,wenden
sie,wenden,ihre
wenden,ihre,zeit
ihre,zeit,an
zeit,an,eine
an,eine,stoffpuppe
eine,stoffpuppe,und
stoffpuppe,und,sie
und,sie,wächst
sie,wächst,ihnen
wächst,ihnen,so
ihnen,so,ans
so,ans,herz
ans,herz,und
herz,und,nimmt
und,nimmt,man
nimmt,man,sie
man,sie,ihnen
sie,ihnen,weg
ihnen,weg,dann
weg,dann,weinen
dann,weinen,sie
weinen,sie,sie
sie,sie,haben
sie,haben,es
haben,es,gut
es,gut,sagte
gut,sagte,der
sagte,der,weichensteller
der,weichensteller,guten
weichensteller,guten,tag
guten,tag,sagte
tag,sagte,der
sagte,der,kleine
der,kleine,prinz
kleine,prinz,guten
prinz,guten,tag
guten,tag,sagte
tag,sagte,der
sagte,der,händler
der,händler,er
händler,er,handelte
er,handelte,mit
handelte,mit,durststillenden
mit,durststillenden,spezialpillen
durststillenden,spezialpillen,man
spezialpillen,man,schluckt
man,schluckt,eine
schluckt,eine,pro
eine,pro,woche
pro,woche,und
woche,und,schon
und,schon,hat
schon,hat,man
hat,man,nicht
man,nicht,mehr
nicht,mehr,das
mehr,das,bedürfnis
das,bedürfnis,zu
bedürfnis,zu,trinken
zu,trinken,warum
trinken,warum,verkaufst
warum,verkaufst,du
verkaufst,du,das
du,das,sagte
das,sagte,der
sagte,der,kleine
der,kleine,prinz
kleine,prinz,das
prinz,das,spart
das,spart,viel
spart,viel,zeit
viel,zeit,sagte
zeit,sagte,der
sagte,der,händler
der,händler,experten
händler,experten,haben
experten,haben,das
haben,das,schon
das,schon,berechnet
schon,berechnet,man
berechnet,man,spart
man,spart,dreiundfünfzig
spart,dreiundfünfzig,minuten
dreiundfünfzig,minuten,pro
minuten,pro,woche
pro,woche,und
woche,und,was
und,was,macht
was,macht,man
macht,man,mit
man,mit,den
mit,den,dreiundfünfzig
den,dreiundfünfzig,minuten
dreiundfünfzig,minuten,man
minuten,man,macht
man,macht,damit
macht,damit,was
damit,was,man
was,man,will
man,will,ich
will,ich,sagte
ich,sagte,sich
sagte,sich,der
sich,der,kleine
der,kleine,prinz
kleine,prinz,ich
prinz,ich,würde
ich,würde,wenn
würde,wenn,ich
wenn,ich,dreiundfünfzig
ich,dreiundfünfzig,minuten
dreiundfünfzig,minuten,übrig
minuten,übrig,hätte
übrig,hätte,ganz
hätte,ganz,in
ganz,in,ruhe
in,ruhe,zu
ruhe,zu,einem
zu,einem,brunnen
einem,brunnen,laufen
brunnen,laufen,nun
laufen,nun,war
nun,war,meine
war,meine,panne
meine,panne,in
panne,in,der
in,der,wüste
der,wüste,schon
wüste,schon,acht
schon,acht,tage
acht,tage,her
tage,her,und
her,und,ich
und,ich,hatte
ich,hatte,mir
hatte,mir,gerade
mir,gerade,die
gerade,die,geschichte
die,geschichte,vom
geschichte,vom,pillenhändler
vom,pillenhändler,angehört
pillenhändler,angehört,als
angehört,als,ich
als,ich,den
ich,den,letzten
den,letzten,tropfen
letzten,tropfen,meines
tropfen,meines,wasservorrates
meines,wasservorrates,trank
wasservorrates,trank,ach
trank,ach,sagte
ach,sagte,ich
sagte,ich,zum
ich,zum,kleinen
zum,kleinen,prinzen
kleinen,prinzen,sie
prinzen,sie,sind
sie,sind,sehr
sind,sehr,schön
sehr,schön,deine
schön,deine,erinnerungen
deine,erinnerungen,aber
erinnerungen,aber,ich
aber,ich,habe
ich,habe,mein
habe,mein,flugzeug
mein,flugzeug,noch
flugzeug,noch,nicht
noch,nicht,repariert
nicht,repariert,ich
repariert,ich,habe
ich,habe,nichts
habe,nichts,mehr
nichts,mehr,zu
mehr,zu,trinken
zu,trinken,und
trinken,und,ich
und,ich,wäre
ich,wäre,glücklich
wäre,glücklich,wenn
glücklich,wenn,auch
wenn,auch,ich
auch,ich,ganz
ich,ganz,in
ganz,in,ruhe
in,ruhe,zu
ruhe,zu,einem
zu,einem,brunnen
einem,brunnen,laufen
brunnen,laufen,könnte
laufen,könnte,mein
könnte,mein,freund
mein,freund,der
freund,der,fuchs
der,fuchs,sagte
fuchs,sagte,er
sagte,er,mein
er,mein,kleines
mein,kleines,kerlchen
kleines,kerlchen,es
kerlchen,es,geht
es,geht,nicht
geht,nicht,mehr
nicht,mehr,um
mehr,um,den
um,den,fuchs
den,fuchs,warum
fuchs,warum,weil
warum,weil,wir
weil,wir,verdursten
wir,verdursten,werden
verdursten,werden,er
werden,er,verstand
er,verstand,meine
verstand,meine,erklärung
meine,erklärung,nicht
erklärung,nicht,und
nicht,und,antwortete
und,antwortete,es
antwortete,es,ist
es,ist,gut
ist,gut,einen
gut,einen,freund
einen,freund,gehabt
freund,gehabt,zu
gehabt,zu,haben
zu,haben,selbst
haben,selbst,wenn
selbst,wenn,man
wenn,man,sterben
man,sterben,muss
sterben,muss,ich
muss,ich,bin
ich,bin,sehr
bin,sehr,froh
sehr,froh,dass
froh,dass,ich
dass,ich,einen
ich,einen,fuchs
einen,fuchs,zum
fuchs,zum,freund
zum,freund,hatte
freund,hatte,er
hatte,er,erkennt
er,erkennt,die
erkennt,die,gefahr
die,gefahr,nicht
gefahr,nicht,sagte
nicht,sagte,ich
sagte,ich,mir
ich,mir,er
mir,er,hat
er,hat,niemals
hat,niemals,hunger
niemals,hunger,oder
hunger,oder,durst
oder,durst,ihm
durst,ihm,reicht
ihm,reicht,ein
reicht,ein,bisschen
ein,bisschen,sonne
bisschen,sonne,aber
sonne,aber,er
aber,er,sah
er,sah,mich
sah,mich,an
mich,an,und
an,und,antwortete
und,antwortete,auf
antwortete,auf,meinen
auf,meinen,gedanken
meinen,gedanken,ich
gedanken,ich,habe
ich,habe,auch
habe,auch,durst
auch,durst,suchen
durst,suchen,wir
suchen,wir,einen
wir,einen,brunnen
einen,brunnen,ich
brunnen,ich,machte
ich,machte,eine
machte,eine,verzweifelte
eine,verzweifelte,geste
verzweifelte,geste,es
geste,es,ist
es,ist,absurd
ist,absurd,auf
absurd,auf,gut
auf,gut,glück
gut,glück,einen
glück,einen,brunnen
einen,brunnen,in
brunnen,in,der
in,der,unendlichkeit
der,unendlichkeit,der
unendlichkeit,der,wüste
der,wüste,zu
wüste,zu,suchen
zu,suchen,dennoch
suchen,dennoch,machten
dennoch,machten,wir
machten,wir,uns
wir,uns,auf
uns,auf,den
auf,den,weg
den,weg,als
weg,als,wir
als,wir,stundenlang
wir,stundenlang,schweigend
stundenlang,schweigend,herumgelaufen
schweigend,herumgelaufen,waren
herumgelaufen,waren,brach
waren,brach,die
brach,die,nacht
die,nacht,herein
nacht,herein,und
herein,und,die
und,die,sterne
die,sterne,begannen
sterne,begannen,zu
begannen,zu,leuchten
zu,leuchten,ich
leuchten,ich,nahm
ich,nahm,sie
nahm,sie,wahr
sie,wahr,wie
wahr,wie,im
wie,im,traum
im,traum,ich
traum,ich,hatte
ich,hatte,ein
hatte,ein,bisschen
ein,bisschen,fieber
bisschen,fieber,das
fieber,das,machte
das,machte,der
machte,der,durst
der,durst,die
durst,die,worte
die,worte,des
worte,des,kleinen
des,kleinen,prinzen
kleinen,prinzen,tanzten
prinzen,tanzten,durch
tanzten,durch,mein
durch,mein,bewusstsein
mein,bewusstsein,du
bewusstsein,du,hast
du,hast,also
hast,also,auch
also,auch,durst
auch,durst,fragte
durst,fragte,ich
fragte,ich,ihn
ich,ihn,aber
ihn,aber,er
aber,er,antwortete
er,antwortete,nicht
antwortete,nicht,auf
nicht,auf,meine
auf,meine,frage
meine,frage,er
frage,er,sagte
er,sagte,nur
sagte,nur,wasser
nur,wasser,ist
wasser,ist,auch
ist,auch,gut
auch,gut,für
gut,für,das
für,das,herz
das,herz,ich
herz,ich,verstand
ich,verstand,seine
verstand,seine,antwort
seine,antwort,nicht
antwort,nicht,und
nicht,und,ich
und,ich,schwieg
ich,schwieg,ich
schwieg,ich,wusste
ich,wusste,ja
wusste,ja,dass
ja,dass,man
dass,man,ihn
man,ihn,nicht
ihn,nicht,ausfragen
nicht,ausfragen,sollte
ausfragen,sollte,er
sollte,er,war
er,war,müde
war,müde,er
müde,er,setzte
er,setzte,sich
setzte,sich,hin
sich,hin,ich
hin,ich,setzte
ich,setzte,mich
setzte,mich,neben
mich,neben,ihn
neben,ihn,und
ihn,und,nach
und,nach,einem
nach,einem,augenblick
einem,augenblick,stille
augenblick,stille,sagte
stille,sagte,er
sagte,er,noch
er,noch,die
noch,die,sterne
die,sterne,sind
sterne,sind,schön
sind,schön,weil
schön,weil,sie
weil,sie,an
sie,an,eine
an,eine,blume
eine,blume,erinnern
blume,erinnern,die
erinnern,die,man
die,man,nicht
man,nicht,sieht
nicht,sieht,ich
sieht,ich,antworte
ich,antworte,das
antworte,das,stimmt
das,stimmt,und
stimmt,und,ich
und,ich,schaute
ich,schaute,schweigend
schaute,schweigend,auf
schweigend,auf,die
auf,die,falten
die,falten,im
falten,im,sand
im,sand,unter
sand,unter,dem
unter,dem,mond
dem,mond,die
mond,die,wüste
die,wüste,ist
wüste,ist,schön
ist,schön,fügte
schön,fügte,er
fügte,er,hinzu
er,hinzu,und
hinzu,und,es
und,es,stimmte
es,stimmte,ich
stimmte,ich,habe
ich,habe,die
habe,die,wüste
die,wüste,immer
wüste,immer,geliebt
immer,geliebt,man
geliebt,man,setzt
man,setzt,sich
setzt,sich,auf
sich,auf,eine
auf,eine,sanddüne
eine,sanddüne,man
sanddüne,man,sieht
man,sieht,nichts
sieht,nichts,man
nichts,man,hört
man,hört,nichts
hört,nichts,und
nichts,und,trotzdem
und,trotzdem,leuchtet
trotzdem,leuchtet,etwas
leuchtet,etwas,im
etwas,im,stillen
im,stillen,was
stillen,was,die
was,die,wüste
die,wüste,so
wüste,so,schön
so,schön,macht
schön,macht,sagte
macht,sagte,der
sagte,der,kleine
der,kleine,prinz
kleine,prinz,ist
prinz,ist,dass
ist,dass,sie
dass,sie,irgendwo
sie,irgendwo,einen
irgendwo,einen,brunnen
einen,brunnen,versteckt
brunnen,versteckt,hält
versteckt,hält,ich
hält,ich,war
ich,war,überrascht
war,überrascht,plötzlich
überrascht,plötzlich,dieses
plötzlich,dieses,rätselhafte
dieses,rätselhafte,leuchten
rätselhafte,leuchten,des
leuchten,des,sandes
des,sandes,zu
sandes,zu,verstehen
zu,verstehen,als
verstehen,als,ich
als,ich,ein
ich,ein,kleiner
ein,kleiner,junge
kleiner,junge,war
junge,war,wohnte
war,wohnte,ich
wohnte,ich,in
ich,in,einem
in,einem,alten
einem,alten,haus
alten,haus,und
haus,und,der
und,der,legende
der,legende,nach
legende,nach,war
nach,war,dort
war,dort,ein
dort,ein,schatz
ein,schatz,versteckt
schatz,versteckt,natürlich
versteckt,natürlich,gelang
natürlich,gelang,es
gelang,es,nie
es,nie,jemandem
nie,jemandem,ihn
jemandem,ihn,zu
ihn,zu,entdecken
zu,entdecken,vielleicht
entdecken,vielleicht,nicht
vielleicht,nicht,mal
nicht,mal,danach
mal,danach,zu
danach,zu,suchen
zu,suchen,aber
suchen,aber,er
aber,er,verzauberte
er,verzauberte,das
verzauberte,das,ganze
das,ganze,haus
ganze,haus,mein
haus,mein,haus
mein,haus,versteckte
haus,versteckte,am
versteckte,am,grunde
am,grunde,seines
grunde,seines,herzens
seines,herzens,ein
herzens,ein,geheimnis
ein,geheimnis,ja
geheimnis,ja,sagte
ja,sagte,ich
sagte,ich,zum
ich,zum,kleinen
zum,kleinen,prinzen
kleinen,prinzen,ob
prinzen,ob,es
ob,es,sich
es,sich,nun
sich,nun,um
nun,um,das
um,das,haus
das,haus,die
haus,die,sterne
die,sterne,oder
sterne,oder,die
oder,die,wüste
die,wüste,handelt
wüste,handelt,was
handelt,was,ihre
was,ihre,schönheit
ihre,schönheit,ausmacht
schönheit,ausmacht,ist
ausmacht,ist,unsichtbar
ist,unsichtbar,ich
unsichtbar,ich,bin
ich,bin,zufrieden
bin,zufrieden,sagte
zufrieden,sagte,er
sagte,er,dass
er,dass,du
dass,du,es
du,es,genauso
es,genauso,siehst
genauso,siehst,wie
siehst,wie,mein
wie,mein,fuchs
mein,fuchs,weil
fuchs,weil,der
weil,der,kleine
der,kleine,prinz
kleine,prinz,einschlief
prinz,einschlief,nahm
einschlief,nahm,ich
nahm,ich,ihn
ich,ihn,in
ihn,in,meine
in,meine,arme
meine,arme,und
arme,und,lief
und,lief,weiter
lief,weiter,ich
weiter,ich,war
ich,war,gerührt
war,gerührt,mir
gerührt,mir,schien
mir,schien,ich
schien,ich,trüge
ich,trüge,einen
trüge,einen,zerbrechlichen
einen,zerbrechlichen,schatz
zerbrechlichen,schatz,es
schatz,es,schien
es,schien,mir
schien,mir,sogar
mir,sogar,so
sogar,so,als
so,als,gäbe
als,gäbe,es
gäbe,es,nichts
es,nichts,zerbrechlicheres
nichts,zerbrechlicheres,auf
zerbrechlicheres,auf,der
auf,der,erde
der,erde,ich
erde,ich,schaute
ich,schaute,im
schaute,im,mondlicht
im,mondlicht,auf
mondlicht,auf,diese
auf,diese,blasse
diese,blasse,stirn
blasse,stirn,die
stirn,die,geschlossenen
die,geschlossenen,augen
geschlossenen,augen,die
augen,die,haarsträhnen
die,haarsträhnen,die
haarsträhnen,die,im
die,im,wind
im,wind,zitterten
wind,zitterten,und
zitterten,und,ich
und,ich,sagte
ich,sagte,mir
sagte,mir,was
mir,was,ich
was,ich,vor
ich,vor,mir
vor,mir,sehe
mir,sehe,ist
sehe,ist,nur
ist,nur,eine
nur,eine,hülle
eine,hülle,das
hülle,das,eigentliche
das,eigentliche,ist
eigentliche,ist,unsichtbar
ist,unsichtbar,da
unsichtbar,da,seine
da,seine,halbgeöffneten
seine,halbgeöffneten,lippen
halbgeöffneten,lippen,ein
lippen,ein,halbes
ein,halbes,lächeln
halbes,lächeln,andeuteten
lächeln,andeuteten,sagte
andeuteten,sagte,ich
sagte,ich,mir
ich,mir,noch
mir,noch,was
noch,was,mich
was,mich,am
mich,am,kleinen
am,kleinen,schlafenden
kleinen,schlafenden,prinzen
schlafenden,prinzen,so
prinzen,so,rührt
so,rührt,ist
rührt,ist,seine
ist,seine,treue
seine,treue,zu
treue,zu,einer
zu,einer,blume
einer,blume,das
blume,das,ist
das,ist,das
ist,das,bild
das,bild,einer
bild,einer,rose
einer,rose,das
rose,das,in
das,in,ihm
in,ihm,strahlt
ihm,strahlt,wie
strahlt,wie,die
wie,die,flamme
die,flamme,einer
flamme,einer,kerze
einer,kerze,selbst
kerze,selbst,wenn
selbst,wenn,er
wenn,er,schläft
er,schläft,und
schläft,und,er
und,er,erschien
er,erschien,mir
erschien,mir,noch
mir,noch,zerbrechlicher
noch,zerbrechlicher,man
zerbrechlicher,man,muss
man,muss,kerzen
muss,kerzen,gut
kerzen,gut,schützen
gut,schützen,schon
schützen,schon,ein
schon,ein,windstoß
ein,windstoß,kann
windstoß,kann,sie
kann,sie,auslöschen
sie,auslöschen,und
auslöschen,und,während
und,während,ich
während,ich,so
ich,so,lief
so,lief,entdeckte
lief,entdeckte,ich
entdeckte,ich,bei
ich,bei,tagesanbruch
bei,tagesanbruch,den
tagesanbruch,den,brunnen
den,brunnen,die
brunnen,die,menschen
die,menschen,sagte
menschen,sagte,der
sagte,der,kleine
der,kleine,prinz
kleine,prinz,drängen
prinz,drängen,sich
drängen,sich,in
sich,in,schnellzüge
in,schnellzüge,aber
schnellzüge,aber,sie
aber,sie,wissen
sie,wissen,nicht
wissen,nicht,wohin
nicht,wohin,sie
wohin,sie,wollen
sie,wollen,so
wollen,so,fahren
so,fahren,sie
fahren,sie,hin
sie,hin,und
hin,und,her
und,her,und
her,und,dabei
und,dabei,immer
dabei,immer,im
immer,im,kreis
im,kreis,und
kreis,und,er
und,er,fügte
er,fügte,hinzu
fügte,hinzu,das
hinzu,das,ist
das,ist,es
ist,es,nicht
es,nicht,wert
nicht,wert,der
wert,der,brunnen
der,brunnen,zu
brunnen,zu,dem
zu,dem,wir
dem,wir,kamen
wir,kamen,sah
kamen,sah,nicht
sah,nicht,so
nicht,so,aus
so,aus,wie
aus,wie,die
wie,die,üblichen
die,üblichen,saharabrunnen
üblichen,saharabrunnen,die
saharabrunnen,die,brunnen
die,brunnen,in
brunnen,in,der
in,der,sahara
der,sahara,sind
sahara,sind,nur
sind,nur,einfache
nur,einfache,löcher
einfache,löcher,im
löcher,im,sand
im,sand,dieser
sand,dieser,aber
dieser,aber,glich
aber,glich,einem
glich,einem,dorfbrunnen
einem,dorfbrunnen,aber
dorfbrunnen,aber,da
aber,da,war
da,war,kein
war,kein,dorf
kein,dorf,und
dorf,und,ich
und,ich,glaubte
ich,glaubte,zu
glaubte,zu,träumen
zu,träumen,merkwürdig
träumen,merkwürdig,sagte
merkwürdig,sagte,ich
sagte,ich,zum
ich,zum,kleinen
zum,kleinen,prinzen
kleinen,prinzen,alles
prinzen,alles,ist
alles,ist,bereit
ist,bereit,die
bereit,die,winde
die,winde,der
winde,der,eimer
der,eimer,das
eimer,das,seil
das,seil,er
seil,er,lachte
er,lachte,fasste
lachte,fasste,das
fasste,das,seil
das,seil,und
seil,und,ließ
und,ließ,die
ließ,die,brunnenwinde
die,brunnenwinde,spielen
brunnenwinde,spielen,und
spielen,und,sie
und,sie,ächzte
sie,ächzte,wie
ächzte,wie,ein
wie,ein,alter
ein,alter,wetterhahn
alter,wetterhahn,wenn
wetterhahn,wenn,der
wenn,der,wind
der,wind,lange
wind,lange,geschlafen
lange,geschlafen,hat
geschlafen,hat,hörst
hat,hörst,du
hörst,du,sagte
du,sagte,der
sagte,der,kleine
der,kleine,prinz
kleine,prinz,wir
prinz,wir,wecken
wir,wecken,diesen
wecken,diesen,brunnen
diesen,brunnen,und
brunnen,und,er
und,er,singt
er,singt,ich
singt,ich,wollte
ich,wollte,nicht
wollte,nicht,dass
nicht,dass,er
dass,er,sich
er,sich,zu
sich,zu,sehr
zu,sehr,anstrengt
sehr,anstrengt,lass
anstrengt,lass,mich
lass,mich,das
mich,das,machen
das,machen,sagte
machen,sagte,ich
sagte,ich,das
ich,das,ist
das,ist,zu
ist,zu,schwer
zu,schwer,für
schwer,für,dich
für,dich,langsam
dich,langsam,zog
langsam,zog,ich
zog,ich,den
ich,den,eimer
den,eimer,bis
eimer,bis,zum
bis,zum,rand
zum,rand,hinauf
rand,hinauf,ich
hinauf,ich,stellte
ich,stellte,ihn
stellte,ihn,ganz
ihn,ganz,aufrecht
ganz,aufrecht,hin
aufrecht,hin,in
hin,in,meinen
in,meinen,ohren
meinen,ohren,hallte
ohren,hallte,noch
hallte,noch,das
noch,das,geräusch
das,geräusch,der
geräusch,der,zugwinde
der,zugwinde,und
zugwinde,und,im
und,im,zitternden
im,zitternden,wasser
zitternden,wasser,sah
wasser,sah,ich
sah,ich,die
ich,die,sonne
die,sonne,schimmern
sonne,schimmern,mich
schimmern,mich,dürstet
mich,dürstet,es
dürstet,es,nach
es,nach,diesem
nach,diesem,wasser
diesem,wasser,sagte
wasser,sagte,der
sagte,der,kleine
der,kleine,prinz
kleine,prinz,gib
prinz,gib,mir
gib,mir,zu
mir,zu,trinken
zu,trinken,und
trinken,und,ich
und,ich,verstand
ich,verstand,was
verstand,was,er
was,er,gesucht
er,gesucht,hatte
gesucht,hatte,ich
hatte,ich,hob
ich,hob,den
hob,den,eimer
den,eimer,an
eimer,an,seine
an,seine,lippen
seine,lippen,er
lippen,er,trank
er,trank,mit
trank,mit,geschlossenen
mit,geschlossenen,augen
geschlossenen,augen,das
augen,das,war
das,war,köstlich
war,köstlich,wie
köstlich,wie,ein
wie,ein,fest
ein,fest,dieses
fest,dieses,wasser
dieses,wasser,war
wasser,war,alles
war,alles,andere
alles,andere,als
andere,als,ein
als,ein,einfaches
ein,einfaches,lebensmittel
einfaches,lebensmittel,es
lebensmittel,es,war
es,war,entstanden
war,entstanden,aus
entstanden,aus,dem
aus,dem,marsch
dem,marsch,unter
marsch,unter,den
unter,den,sternen
den,sternen,aus
sternen,aus,dem
aus,dem,gesang
dem,gesang,der
gesang,der,brunnenwinde
der,brunnenwinde,aus
brunnenwinde,aus,der
aus,der,anstrengung
der,anstrengung,meiner
anstrengung,meiner,arme
meiner,arme,es
arme,es,tat
es,tat,dem
tat,dem,herzen
dem,herzen,so
herzen,so,gut
so,gut,wie
gut,wie,ein
wie,ein,geschenk
ein,geschenk,genau
geschenk,genau,so
genau,so,machten
so,machten,als
machten,als,ich
als,ich,ein
ich,ein,kleiner
ein,kleiner,junge
kleiner,junge,war
junge,war,das
war,das,licht
das,licht,des
licht,des,weihnachtsbaums
des,weihnachtsbaums,die
weihnachtsbaums,die,musik
die,musik,der
musik,der,mitternachtsmesse
der,mitternachtsmesse,die
mitternachtsmesse,die,milde
die,milde,des
milde,des,lächelns
des,lächelns,den
lächelns,den,ganzen
den,ganzen,zauber
ganzen,zauber,des
zauber,des,geschenks
des,geschenks,aus
geschenks,aus,das
aus,das,ich
das,ich,bekam
ich,bekam,die
bekam,die,menschen
die,menschen,bei
menschen,bei,dir
bei,dir,sagte
dir,sagte,der
sagte,der,kleine
der,kleine,prinz
kleine,prinz,züchten
prinz,züchten,fünftausend
züchten,fünftausend,rosen
fünftausend,rosen,im
rosen,im,gleichen
im,gleichen,garten
gleichen,garten,und
garten,und,sie
und,sie,finden
sie,finden,nicht
finden,nicht,wonach
nicht,wonach,sie
wonach,sie,suchen
sie,suchen,sie
suchen,sie,finden
sie,finden,es
finden,es,nicht
es,nicht,antwortete
nicht,antwortete,ich
antwortete,ich,und
ich,und,dabei
und,dabei,könnte
dabei,könnte,man
könnte,man,das
man,das,was
das,was,sie
was,sie,suchen
sie,suchen,in
suchen,in,einer
in,einer,einzigen
einer,einzigen,rose
einzigen,rose,oder
rose,oder,in
oder,in,ein
in,ein,wenig
ein,wenig,wasser
wenig,wasser,finden
wasser,finden,natürlich
finden,natürlich,antwortete
natürlich,antwortete,ich
antwortete,ich,und
ich,und,der
und,der,kleine
der,kleine,prinz
kleine,prinz,ergänzte
prinz,ergänzte,aber
ergänzte,aber,die
aber,die,augen
die,augen,sind
augen,sind,blind
sind,blind,man
blind,man,muss
man,muss,mit
muss,mit,dem
mit,dem,herzen
dem,herzen,suchen
herzen,suchen,ich
suchen,ich,hatte
ich,hatte,getrunken
hatte,getrunken,ich
getrunken,ich,atmete
ich,atmete,tief
atmete,tief,durch
tief,durch,der
durch,der,sand
der,sand,hat
sand,hat,bei
hat,bei,tagesanbruch
bei,tagesanbruch,die
tagesanbruch,die,farbe
die,farbe,von
farbe,von,honig
von,honig,ich
honig,ich,war
ich,war,glücklich
war,glücklich,über
glücklich,über,diese
über,diese,honigfarbe
diese,honigfarbe,warum
honigfarbe,warum,musste
warum,musste,ich
musste,ich,traurig
ich,traurig,sein
traurig,sein,du
sein,du,musst
du,musst,dein
musst,dein,versprechen
dein,versprechen,halten
versprechen,halten,sagte
halten,sagte,der
sagte,der,kleine
der,kleine,prinz
kleine,prinz,sanft
prinz,sanft,der
sanft,der,sich
der,sich,wieder
sich,wieder,neben
wieder,neben,mich
neben,mich,gesetzt
mich,gesetzt,hatte
gesetzt,hatte,welches
hatte,welches,versprechen
welches,versprechen,du
versprechen,du,weißt
du,weißt,ein
weißt,ein,maulkorb
ein,maulkorb,für
maulkorb,für,mein
für,mein,schaf
mein,schaf,ich
schaf,ich,bin
ich,bin,verantwortlich
bin,verantwortlich,für
verantwortlich,für,diese
für,diese,blume
diese,blume,ich
blume,ich,holte
ich,holte,aus
holte,aus,meiner
aus,meiner,tasche
meiner,tasche,meine
tasche,meine,zeichenentwürfe
meine,zeichenentwürfe,hervor
zeichenentwürfe,hervor,der
hervor,der,kleine
der,kleine,prinz
kleine,prinz,sah
prinz,sah,sie
sah,sie,und
sie,und,sagte
und,sagte,lachend
sagte,lachend,deine
lachend,deine,affenbrotbäume
deine,affenbrotbäume,sehen
affenbrotbäume,sehen,ein
sehen,ein,bisschen
ein,bisschen,so
bisschen,so,aus
so,aus,wie
aus,wie,kohlköpfe
wie,kohlköpfe,oh
kohlköpfe,oh,ich
oh,ich,war
ich,war,so
war,so,stolz
so,stolz,auf
stolz,auf,die
auf,die,affenbrotbäume
die,affenbrotbäume,gewesen
affenbrotbäume,gewesen,dein
gewesen,dein,fuchs
dein,fuchs,seine
fuchs,seine,ohren
seine,ohren,sie
ohren,sie,sehen
sie,sehen,ein
sehen,ein,bisschen
ein,bisschen,wie
bisschen,wie,hörner
wie,hörner,aus
hörner,aus,sie
aus,sie,sind
sie,sind,zu
sind,zu,lang
zu,lang,und
lang,und,wieder
und,wieder,lachte
wieder,lachte,er
lachte,er,du
er,du,bist
du,bist,ungerecht
bist,ungerecht,kleiner
ungerecht,kleiner,kerl
kleiner,kerl,ich
kerl,ich,konnte
ich,konnte,schon
konnte,schon,immer
schon,immer,nur
immer,nur,offene
nur,offene,und
offene,und,geschlossene
und,geschlossene,riesenschlagen
geschlossene,riesenschlagen,zeichnen
riesenschlagen,zeichnen,oh
zeichnen,oh,das
oh,das,wird
das,wird,schon
wird,schon,gehen
schon,gehen,sagte
gehen,sagte,er
sagte,er,die
er,die,kinder
die,kinder,verstehen
kinder,verstehen,es
verstehen,es,ich
es,ich,kritzelte
ich,kritzelte,also
kritzelte,also,einen
also,einen,maulkorb
einen,maulkorb,und
maulkorb,und,mein
und,mein,herz
mein,herz,zog
herz,zog,sich
zog,sich,zusammen
sich,zusammen,als
zusammen,als,ich
als,ich,sie
ich,sie,ihm
sie,ihm,gab
ihm,gab,du
gab,du,hast
du,hast,etwas
hast,etwas,vor
etwas,vor,von
vor,von,dem
von,dem,ich
dem,ich,nichts
ich,nichts,weiß
nichts,weiß,aber
weiß,aber,er
aber,er,antwortete
er,antwortete,mir
antwortete,mir,nicht
mir,nicht,er
nicht,er,sagte
er,sagte,weißt
