first,second,third,fourth
ich,trüge,einen,zerbrechlichen
trüge,einen,zerbrechlichen,schatz
einen,zerbrechlichen,schatz,es
zerbrechlichen,schatz,es,schien
schatz,es,schien,mir
es,schien,mir,sogar
schien,mir,sogar,so
mir,sogar,so,als
sogar,so,als,gäbe
so,als,gäbe,es
als,gäbe,es,nichts
gäbe,es,nichts,zerbrechlicheres
es,nichts,zerbrechlicheres,auf
nichts,zerbrechlicheres,auf,der
zerbrechlicheres,auf,der,erde
auf,der,erde,ich
der,erde,ich,schaute
erde,ich,schaute,im
ich,schaute,im,mondlicht
schaute,im,mondlicht,auf
im,mondlicht,auf,diese
mondlicht,auf,diese,blasse
auf,diese,blasse,stirn
diese,blasse,stirn,die
blasse,stirn,die,geschlossenen
stirn,die,geschlossenen,augen
die,geschlossenen,augen,die
geschlossenen,augen,die,haarsträhnen
augen,die,haarsträhnen,die
die,haarsträhnen,die,im
haarsträhnen,die,im,wind
die,im,wind,zitterten
im,wind,zitterten,und
wind,zitterten,und,ich
zitterten,und,ich,sagte
und,ich,sagte,mir
ich,sagte,mir,was
sagte,mir,was,ich
mir,was,ich,vor
was,ich,vor,mir
ich,vor,mir,sehe
vor,mir,sehe,ist
mir,sehe,ist,nur
sehe,ist,nur,eine
ist,nur,eine,hülle
nur,eine,hülle,das
eine,hülle,das,eigentliche
hülle,das,eigentliche,ist
das,eigentliche,ist,unsichtbar
eigentliche,ist,unsichtbar,da
ist,unsichtbar,da,seine
unsichtbar,da,seine,halbgeöffneten
da,seine,halbgeöffneten,lippen
seine,halbgeöffneten,lippen,ein
halbgeöffneten,lippen,ein,halbes
lippen,ein,halbes,lächeln
ein,halbes,lächeln,andeuteten
halbes,lächeln,andeuteten,sagte
lächeln,andeuteten,sagte,ich
andeuteten,sagte,ich,mir
sagte,ich,mir,noch
ich,mir,noch,was
mir,noch,was,mich
noch,was,mich,am
was,mich,am,kleinen
mich,am,kleinen,schlafenden
am,kleinen,schlafenden,prinzen
kleinen,schlafenden,prinzen,so
schlafenden,prinzen,so,rührt
prinzen,so,rührt,ist
so,rührt,ist,seine
rührt,ist,seine,treue
ist,seine,treue,zu
seine,treue,zu,einer
treue,zu,einer,blume
zu,einer,blume,das
einer,blume,das,ist
blume,das,ist,das
das,ist,das,bild
ist,das,bild,einer
das,bild,einer,rose
bild,einer,rose,das
einer,rose,das,in
rose,das,in,ihm
das,in,ihm,strahlt
in,ihm,strahlt,wie
ihm,strahlt,wie,die
strahlt,wie,die,flamme
wie,die,flamme,einer
die,flamme,einer,kerze
flamme,einer,kerze,selbst
einer,kerze,selbst,wenn
kerze,selbst,wenn,er
selbst,wenn,er,schläft
wenn,er,schläft,und
er,schläft,und,er
schläft,und,er,erschien
und,er,erschien,mir
er,erschien,mir,noch
erschien,mir,noch,zerbrechlicher
mir,noch,zerbrechlicher,man
noch,zerbrechlicher,man,muss
zerbrechlicher,man,muss,kerzen
man,muss,kerzen,gut
muss,kerzen,gut,schützen
kerzen,gut,schützen,schon
gut,schützen,schon,ein
schützen,schon,ein,windstoß
schon,ein,windstoß,kann
ein,windstoß,kann,sie
windstoß,kann,sie,auslöschen
kann,sie,auslöschen,und
sie,auslöschen,und,während
auslöschen,und,während,ich
und,während,ich,so
während,ich,so,lief
ich,so,lief,entdeckte
so,lief,entdeckte,ich
lief,entdeckte,ich,bei
entdeckte,ich,bei,tagesanbruch
ich,bei,tagesanbruch,den
bei,tagesanbruch,den,brunnen
tagesanbruch,den,brunnen,die
den,brunnen,die,menschen
brunnen,die,menschen,sagte
die,menschen,sagte,der
menschen,sagte,der,kleine
sagte,der,kleine,prinz
der,kleine,prinz,drängen
kleine,prinz,drängen,sich
prinz,drängen,sich,in
drängen,sich,in,schnellzüge
sich,in,schnellzüge,aber
in,schnellzüge,aber,sie
schnellzüge,aber,sie,wissen
aber,sie,wissen,nicht
sie,wissen,nicht,wohin
wissen,nicht,wohin,sie
nicht,wohin,sie,wollen
wohin,sie,wollen,so
sie,wollen,so,fahren
wollen,so,fahren,sie
so,fahren,sie,hin
fahren,sie,hin,und
sie,hin,und,her
hin,und,her,und
und,her,und,dabei
her,und,dabei,immer
und,dabei,immer,im
dabei,immer,im,kreis
immer,im,kreis,und
im,kreis,und,er
kreis,und,er,fügte
und,er,fügte,hinzu
er,fügte,hinzu,das
fügte,hinzu,das,ist
hinzu,das,ist,es
das,ist,es,nicht
ist,es,nicht,wert
es,nicht,wert,der
nicht,wert,der,brunnen
wert,der,brunnen,zu
der,brunnen,zu,dem
brunnen,zu,dem,wir
zu,dem,wir,kamen
dem,wir,kamen,sah
wir,kamen,sah,nicht
kamen,sah,nicht,so
sah,nicht,so,aus
nicht,so,aus,wie
so,aus,wie,die
aus,wie,die,üblichen
wie,die,üblichen,saharabrunnen
die,üblichen,saharabrunnen,die
üblichen,saharabrunnen,die,brunnen
saharabrunnen,die,brunnen,in
die,brunnen,in,der
brunnen,in,der,sahara
in,der,sahara,sind
der,sahara,sind,nur
sahara,sind,nur,einfache
sind,nur,einfache,löcher
nur,einfache,löcher,im
einfache,löcher,im,sand
löcher,im,sand,dieser
im,sand,dieser,aber
sand,dieser,aber,glich
dieser,aber,glich,einem
aber,glich,einem,dorfbrunnen
glich,einem,dorfbrunnen,aber
einem,dorfbrunnen,aber,da
dorfbrunnen,aber,da,war
aber,da,war,kein
da,war,kein,dorf
war,kein,dorf,und
kein,dorf,und,ich
dorf,und,ich,glaubte
und,ich,glaubte,zu
ich,glaubte,zu,träumen
glaubte,zu,träumen,merkwürdig
zu,träumen,merkwürdig,sagte
träumen,merkwürdig,sagte,ich
merkwürdig,sagte,ich,zum
sagte,ich,zum,kleinen
ich,zum,kleinen,prinzen
zum,kleinen,prinzen,alles
kleinen,prinzen,alles,ist
prinzen,alles,ist,bereit
alles,ist,bereit,die
ist,bereit,die,winde
bereit,die,winde,der
die,winde,der,eimer
winde,der,eimer,das
der,eimer,das,seil
eimer,das,seil,er
das,seil,er,lachte
seil,er,lachte,fasste
er,lachte,fasste,das
lachte,fasste,das,seil
fasste,das,seil,und
das,seil,und,ließ
seil,und,ließ,die
und,ließ,die,brunnenwinde
ließ,die,brunnenwinde,spielen
die,brunnenwinde,spielen,und
brunnenwinde,spielen,und,sie
spielen,und,sie,ächzte
und,sie,ächzte,wie
sie,ächzte,wie,ein
ächzte,wie,ein,alter
wie,ein,alter,wetterhahn
ein,alter,wetterhahn,wenn
alter,wetterhahn,wenn,der
wetterhahn,wenn,der,wind
wenn,der,wind,lange
der,wind,lange,geschlafen
wind,lange,geschlafen,hat
lange,geschlafen,hat,hörst
geschlafen,hat,hörst,du
hat,hörst,du,sagte
hörst,du,sagte,der
du,sagte,der,kleine
sagte,der,kleine,prinz
der,kleine,prinz,wir
kleine,prinz,wir,wecken
prinz,wir,wecken,diesen
wir,wecken,diesen,brunnen
wecken,diesen,brunnen,und
diesen,brunnen,und,er
brunnen,und,er,singt
und,er,singt,ich
er,singt,ich,wollte
singt,ich,wollte,nicht
ich,wollte,nicht,dass
wollte,nicht,dass,er
nicht,dass,er,sich
dass,er,sich,zu
er,sich,zu,sehr
sich,zu,sehr,anstrengt
zu,sehr,anstrengt,lass
sehr,anstrengt,lass,mich
anstrengt,lass,mich,das
lass,mich,das,machen
mich,das,machen,sagte
das,machen,sagte,ich
machen,sagte,ich,das
sagte,ich,das,ist
ich,das,ist,zu
das,ist,zu,schwer
ist,zu,schwer,für
zu,schwer,für,dich
schwer,für,dich,langsam
für,dich,langsam,zog
dich,langsam,zog,ich
langsam,zog,ich,den
zog,ich,den,eimer
ich,den,eimer,bis
den,eimer,bis,zum
eimer,bis,zum,rand
bis,zum,rand,hinauf
zum,rand,hinauf,ich
rand,hinauf,ich,stellte
hinauf,ich,stellte,ihn
ich,stellte,ihn,ganz
stellte,ihn,ganz,aufrecht
ihn,ganz,aufrecht,hin
ganz,aufrecht,hin,in
aufrecht,hin,in,meinen
hin,in,meinen,ohren
in,meinen,ohren,hallte
meinen,ohren,hallte,noch
ohren,hallte,noch,das
hallte,noch,das,geräusch
noch,das,geräusch,der
das,geräusch,der,zugwinde
geräusch,der,zugwinde,und
der,zugwinde,und,im
zugwinde,und,im,zitternden
und,im,zitternden,wasser
im,zitternden,wasser,sah
zitternden,wasser,sah,ich
wasser,sah,ich,die
sah,ich,die,sonne
ich,die,sonne,schimmern
die,sonne,schimmern,mich
sonne,schimmern,mich,dürstet
schimmern,mich,dürstet,es
mich,dürstet,es,nach
dürstet,es,nach,diesem
es,nach,diesem,wasser
nach,diesem,wasser,sagte
diesem,wasser,sagte,der
wasser,sagte,der,kleine
sagte,der,kleine,prinz
der,kleine,prinz,gib
kleine,prinz,gib,mir
prinz,gib,mir,zu
gib,mir,zu,trinken
mir,zu,trinken,und
zu,trinken,und,ich
trinken,und,ich,verstand
und,ich,verstand,was
ich,verstand,was,er
verstand,was,er,gesucht
was,er,gesucht,hatte
er,gesucht,hatte,ich
gesucht,hatte,ich,hob
hatte,ich,hob,den
ich,hob,den,eimer
hob,den,eimer,an
den,eimer,an,seine
eimer,an,seine,lippen
an,seine,lippen,er
seine,lippen,er,trank
lippen,er,trank,mit
er,trank,mit,geschlossenen
trank,mit,geschlossenen,augen
mit,geschlossenen,augen,das
geschlossenen,augen,das,war
augen,das,war,köstlich
das,war,köstlich,wie
war,köstlich,wie,ein
köstlich,wie,ein,fest
wie,ein,fest,dieses
ein,fest,dieses,wasser
fest,dieses,wasser,war
dieses,wasser,war,alles
wasser,war,alles,andere
war,alles,andere,als
alles,andere,als,ein
andere,als,ein,einfaches
als,ein,einfaches,lebensmittel
ein,einfaches,lebensmittel,es
einfaches,lebensmittel,es,war
lebensmittel,es,war,entstanden
es,war,entstanden,aus
war,entstanden,aus,dem
entstanden,aus,dem,marsch
aus,dem,marsch,unter
dem,marsch,unter,den
marsch,unter,den,sternen
unter,den,sternen,aus
den,sternen,aus,dem
sternen,aus,dem,gesang
aus,dem,gesang,der
dem,gesang,der,brunnenwinde
gesang,der,brunnenwinde,aus
der,brunnenwinde,aus,der
brunnenwinde,aus,der,anstrengung
aus,der,anstrengung,meiner
der,anstrengung,meiner,arme
anstrengung,meiner,arme,es
meiner,arme,es,tat
arme,es,tat,dem
es,tat,dem,herzen
tat,dem,herzen,so
dem,herzen,so,gut
herzen,so,gut,wie
so,gut,wie,ein
gut,wie,ein,geschenk
wie,ein,geschenk,genau
ein,geschenk,genau,so
geschenk,genau,so,machten
genau,so,machten,als
so,machten,als,ich
machten,als,ich,ein
als,ich,ein,kleiner
ich,ein,kleiner,junge
ein,kleiner,junge,war
kleiner,junge,war,das
junge,war,das,licht
war,das,licht,des
das,licht,des,weihnachtsbaums
licht,des,weihnachtsbaums,die
des,weihnachtsbaums,die,musik
weihnachtsbaums,die,musik,der
die,musik,der,mitternachtsmesse
musik,der,mitternachtsmesse,die
der,mitternachtsmesse,die,milde
mitternachtsmesse,die,milde,des
die,milde,des,lächelns
milde,des,lächelns,den
des,lächelns,den,ganzen
lächelns,den,ganzen,zauber
den,ganzen,zauber,des
ganzen,zauber,des,geschenks
zauber,des,geschenks,aus
des,geschenks,aus,das
geschenks,aus,das,ich
aus,das,ich,bekam
das,ich,bekam,die
ich,bekam,die,menschen
bekam,die,menschen,bei
die,menschen,bei,dir
menschen,bei,dir,sagte
bei,dir,sagte,der
dir,sagte,der,kleine
sagte,der,kleine,prinz
der,kleine,prinz,züchten
kleine,prinz,züchten,fünftausend
prinz,züchten,fünftausend,rosen
züchten,fünftausend,rosen,im
fünftausend,rosen,im,gleichen
rosen,im,gleichen,garten
im,gleichen,garten,und
gleichen,garten,und,sie
garten,und,sie,finden
und,sie,finden,nicht
sie,finden,nicht,wonach
finden,nicht,wonach,sie
nicht,wonach,sie,suchen
wonach,sie,suchen,sie
sie,suchen,sie,finden
suchen,sie,finden,es
sie,finden,es,nicht
finden,es,nicht,antwortete
es,nicht,antwortete,ich
nicht,antwortete,ich,und
antwortete,ich,und,dabei
ich,und,dabei,könnte
und,dabei,könnte,man
dabei,könnte,man,das
könnte,man,das,was
man,das,was,sie
das,was,sie,suchen
was,sie,suchen,in
sie,suchen,in,einer
suchen,in,einer,einzigen
in,einer,einzigen,rose
einer,einzigen,rose,oder
einzigen,rose,oder,in
rose,oder,in,ein
oder,in,ein,wenig
in,ein,wenig,wasser
ein,wenig,wasser,finden
wenig,wasser,finden,natürlich
wasser,finden,natürlich,antwortete
finden,natürlich,antwortete,ich
natürlich,antwortete,ich,und
antwortete,ich,und,der
ich,und,der,kleine
und,der,kleine,prinz
der,kleine,prinz,ergänzte
kleine,prinz,ergänzte,aber
prinz,ergänzte,aber,die
ergänzte,aber,die,augen
aber,die,augen,sind
die,augen,sind,blind
augen,sind,blind,man
sind,blind,man,muss
blind,man,muss,mit
man,muss,mit,dem
muss,mit,dem,herzen
mit,dem,herzen,suchen
dem,herzen,suchen,ich
herzen,suchen,ich,hatte
suchen,ich,hatte,getrunken
ich,hatte,getrunken,ich
hatte,getrunken,ich,atmete
getrunken,ich,atmete,tief
ich,atmete,tief,durch
atmete,tief,durch,der
tief,durch,der,sand
durch,der,sand,hat
der,sand,hat,bei
sand,hat,bei,tagesanbruch
hat,bei,tagesanbruch,die
bei,tagesanbruch,die,farbe
tagesanbruch,die,farbe,von
die,farbe,von,honig
farbe,von,honig,ich
von,honig,ich,war
honig,ich,war,glücklich
ich,war,glücklich,über
war,glücklich,über,diese
glücklich,über,diese,honigfarbe
über,diese,honigfarbe,warum
diese,honigfarbe,warum,musste
honigfarbe,warum,musste,ich
warum,musste,ich,traurig
musste,ich,traurig,sein
ich,traurig,sein,du
traurig,sein,du,musst
sein,du,musst,dein
du,musst,dein,versprechen
musst,dein,versprechen,halten
dein,versprechen,halten,sagte
versprechen,halten,sagte,der
halten,sagte,der,kleine
sagte,der,kleine,prinz
der,kleine,prinz,sanft
kleine,prinz,sanft,der
prinz,sanft,der,sich
sanft,der,sich,wieder
der,sich,wieder,neben
sich,wieder,neben,mich
wieder,neben,mich,gesetzt
neben,mich,gesetzt,hatte
mich,gesetzt,hatte,welches
gesetzt,hatte,welches,versprechen
hatte,welches,versprechen,du
welches,versprechen,du,weißt
versprechen,du,weißt,ein
du,weißt,ein,maulkorb
weißt,ein,maulkorb,für
ein,maulkorb,für,mein
maulkorb,für,mein,schaf
für,mein,schaf,ich
mein,schaf,ich,bin
schaf,ich,bin,verantwortlich
ich,bin,verantwortlich,für
bin,verantwortlich,für,diese
verantwortlich,für,diese,blume
für,diese,blume,ich
diese,blume,ich,holte
blume,ich,holte,aus
ich,holte,aus,meiner
holte,aus,meiner,tasche
aus,meiner,tasche,meine
meiner,tasche,meine,zeichenentwürfe
tasche,meine,zeichenentwürfe,hervor
meine,zeichenentwürfe,hervor,der
zeichenentwürfe,hervor,der,kleine
hervor,der,kleine,prinz
der,kleine,prinz,sah
kleine,prinz,sah,sie
prinz,sah,sie,und
sah,sie,und,sagte
sie,und,sagte,lachend
und,sagte,lachend,deine
sagte,lachend,deine,affenbrotbäume
lachend,deine,affenbrotbäume,sehen
deine,affenbrotbäume,sehen,ein
affenbrotbäume,sehen,ein,bisschen
sehen,ein,bisschen,so
ein,bisschen,so,aus
bisschen,so,aus,wie
so,aus,wie,kohlköpfe
aus,wie,kohlköpfe,oh
wie,kohlköpfe,oh,ich
kohlköpfe,oh,ich,war
oh,ich,war,so
ich,war,so,stolz
war,so,stolz,auf
so,stolz,auf,die
stolz,auf,die,affenbrotbäume
auf,die,affenbrotbäume,gewesen
die,affenbrotbäume,gewesen,dein
affenbrotbäume,gewesen,dein,fuchs
gewesen,dein,fuchs,seine
dein,fuchs,seine,ohren
fuchs,seine,ohren,sie
seine,ohren,sie,sehen
ohren,sie,sehen,ein
sie,sehen,ein,bisschen
sehen,ein,bisschen,wie
ein,bisschen,wie,hörner
bisschen,wie,hörner,aus
wie,hörner,aus,sie
hörner,aus,sie,sind
aus,sie,sind,zu
sie,sind,zu,lang
sind,zu,lang,und
zu,lang,und,wieder
lang,und,wieder,lachte
und,wieder,lachte,er
wieder,lachte,er,du
lachte,er,du,bist
er,du,bist,ungerecht
du,bist,ungerecht,kleiner
bist,ungerecht,kleiner,kerl
ungerecht,kleiner,kerl,ich
kleiner,kerl,ich,konnte
kerl,ich,konnte,schon
ich,konnte,schon,immer
konnte,schon,immer,nur
schon,immer,nur,offene
immer,nur,offene,und
nur,offene,und,geschlossene
offene,und,geschlossene,riesenschlagen
und,geschlossene,riesenschlagen,zeichnen
geschlossene,riesenschlagen,zeichnen,oh
riesenschlagen,zeichnen,oh,das
zeichnen,oh,das,wird
oh,das,wird,schon
das,wird,schon,gehen
wird,schon,gehen,sagte
schon,gehen,sagte,er
gehen,sagte,er,die
sagte,er,die,kinder
er,die,kinder,verstehen
die,kinder,verstehen,es
kinder,verstehen,es,ich
verstehen,es,ich,kritzelte
es,ich,kritzelte,also
ich,kritzelte,also,einen
kritzelte,also,einen,maulkorb
also,einen,maulkorb,und
einen,maulkorb,und,mein
maulkorb,und,mein,herz
und,mein,herz,zog
mein,herz,zog,sich
herz,zog,sich,zusammen
zog,sich,zusammen,als
sich,zusammen,als,ich
zusammen,als,ich,sie
als,ich,sie,ihm
ich,sie,ihm,gab
sie,ihm,gab,du
ihm,gab,du,hast
gab,du,hast,etwas
du,hast,etwas,vor
hast,etwas,vor,von
etwas,vor,von,dem
vor,von,dem,ich
von,dem,ich,nichts
dem,ich,nichts,weiß
ich,nichts,weiß,aber
nichts,weiß,aber,er
weiß,aber,er,antwortete
aber,er,antwortete,mir
er,antwortete,mir,nicht
antwortete,mir,nicht,er
mir,nicht,er,sagte
nicht,er,sagte,weißt
er,sagte,weißt,du
sagte,weißt,du,mein
weißt,du,mein,fall
du,mein,fall,zur
mein,fall,zur,erde
fall,zur,erde,morgen
zur,erde,morgen,jährt
erde,morgen,jährt,er
morgen,jährt,er,sich
jährt,er,sich,und
er,sich,und,nach
sich,und,nach,einem
und,nach,einem,moment
nach,einem,moment,stille
einem,moment,stille,sagte
moment,stille,sagte,er
stille,sagte,er,noch
sagte,er,noch,mein
er,noch,mein,absturz
noch,mein,absturz,der
mein,absturz,der,ereignete
absturz,der,ereignete,sich
der,ereignete,sich,hier
ereignete,sich,hier,ganz
sich,hier,ganz,in
hier,ganz,in,der
ganz,in,der,nähe
in,der,nähe,und
der,nähe,und,wieder
nähe,und,wieder,fühlte
und,wieder,fühlte,ich
wieder,fühlte,ich,einen
fühlte,ich,einen,merkwürdigen
ich,einen,merkwürdigen,schmerz
einen,merkwürdigen,schmerz,ohne
merkwürdigen,schmerz,ohne,zu
schmerz,ohne,zu,verstehen
ohne,zu,verstehen,warum
zu,verstehen,warum,währenddessen
verstehen,warum,währenddessen,fiel
warum,währenddessen,fiel,mir
währenddessen,fiel,mir,eine
fiel,mir,eine,frage
mir,eine,frage,ein
eine,frage,ein,also
frage,ein,also,ist
ein,also,ist,es
also,ist,es,kein
ist,es,kein,zufall
es,kein,zufall,dass
kein,zufall,dass,du
zufall,dass,du,an
dass,du,an,dem
du,an,dem,morgen
an,dem,morgen,an
dem,morgen,an,dem
morgen,an,dem,ich
an,dem,ich,dich
dem,ich,dich,traf
ich,dich,traf,so
dich,traf,so,ganz
traf,so,ganz,allein
so,ganz,allein,tausend
ganz,allein,tausend,meilen
allein,tausend,meilen,von
tausend,meilen,von,besiedeltem
meilen,von,besiedeltem,gebiet
von,besiedeltem,gebiet,entfernt
besiedeltem,gebiet,entfernt,spazieren
gebiet,entfernt,spazieren,gingst
entfernt,spazieren,gingst,du
spazieren,gingst,du,bist
gingst,du,bist,zu
du,bist,zu,der
bist,zu,der,stelle
zu,der,stelle,zurückgekehrt
der,stelle,zurückgekehrt,wohin
stelle,zurückgekehrt,wohin,du
zurückgekehrt,wohin,du,gefallen
wohin,du,gefallen,warst
du,gefallen,warst,der
gefallen,warst,der,kleine
warst,der,kleine,prinz
der,kleine,prinz,errötete
kleine,prinz,errötete,und
prinz,errötete,und,zögernd
errötete,und,zögernd,fügte
und,zögernd,fügte,ich
zögernd,fügte,ich,hinzu
fügte,ich,hinzu,vielleicht
ich,hinzu,vielleicht,wegen
hinzu,vielleicht,wegen,des
vielleicht,wegen,des,jahrestags
wegen,des,jahrestags,der
des,jahrestags,der,kleine
jahrestags,der,kleine,prinz
der,kleine,prinz,errötete
kleine,prinz,errötete,wieder
prinz,errötete,wieder,er
errötete,wieder,er,antwortete
wieder,er,antwortete,nie
er,antwortete,nie,auf
antwortete,nie,auf,fragen
nie,auf,fragen,aber
auf,fragen,aber,wenn
fragen,aber,wenn,man
aber,wenn,man,rot
wenn,man,rot,wird
man,rot,wird,dann
rot,wird,dann,heißt
wird,dann,heißt,das
dann,heißt,das,doch
heißt,das,doch,ja
das,doch,ja,oder
doch,ja,oder,ach
ja,oder,ach,sagte
oder,ach,sagte,ich
ach,sagte,ich,ich
sagte,ich,ich,habe
ich,ich,habe,angst
ich,habe,angst,aber
habe,angst,aber,er
angst,aber,er,antwortete
aber,er,antwortete,du
er,antwortete,du,musst
antwortete,du,musst,jetzt
du,musst,jetzt,arbeiten
musst,jetzt,arbeiten,du
jetzt,arbeiten,du,musst
arbeiten,du,musst,zurück
du,musst,zurück,zu
musst,zurück,zu,deiner
zurück,zu,deiner,maschine
zu,deiner,maschine,ich
deiner,maschine,ich,warte
maschine,ich,warte,hier
ich,warte,hier,auf
warte,hier,auf,dich
hier,auf,dich,komm
auf,dich,komm,morgen
dich,komm,morgen,abend
komm,morgen,abend,wieder
morgen,abend,wieder,aber
abend,wieder,aber,ich
wieder,aber,ich,konnte
aber,ich,konnte,mich
ich,konnte,mich,nicht
konnte,mich,nicht,beruhigen
mich,nicht,beruhigen,ich
nicht,beruhigen,ich,erinnerte
beruhigen,ich,erinnerte,mich
ich,erinnerte,mich,an
erinnerte,mich,an,den
mich,an,den,fuchs
an,den,fuchs,es
den,fuchs,es,kann
fuchs,es,kann,passieren
es,kann,passieren,dass
kann,passieren,dass,man
passieren,dass,man,ein
dass,man,ein,bisschen
man,ein,bisschen,weinen
ein,bisschen,weinen,muss
bisschen,weinen,muss,wenn
weinen,muss,wenn,man
muss,wenn,man,sich
wenn,man,sich,hat
man,sich,hat,zähmen
sich,hat,zähmen,lassen
hat,zähmen,lassen,neben
zähmen,lassen,neben,dem
lassen,neben,dem,brunnen
neben,dem,brunnen,stand
dem,brunnen,stand,eine
brunnen,stand,eine,alte
stand,eine,alte,steinmauer
eine,alte,steinmauer,als
alte,steinmauer,als,ich
steinmauer,als,ich,am
als,ich,am,abend
ich,am,abend,darauf
am,abend,darauf,von
abend,darauf,von,meiner
darauf,von,meiner,arbeit
von,meiner,arbeit,zurückkam
meiner,arbeit,zurückkam,sah
arbeit,zurückkam,sah,ich
zurückkam,sah,ich,von
sah,ich,von,weitem
ich,von,weitem,den
von,weitem,den,kleinen
weitem,den,kleinen,prinzen
den,kleinen,prinzen,darauf
kleinen,prinzen,darauf,sitzen
prinzen,darauf,sitzen,seine
darauf,sitzen,seine,beine
sitzen,seine,beine,baumelten
seine,beine,baumelten,herab
beine,baumelten,herab,und
baumelten,herab,und,ich
herab,und,ich,hörte
und,ich,hörte,ihn
ich,hörte,ihn,reden
hörte,ihn,reden,du
ihn,reden,du,erinnerst
reden,du,erinnerst,dich
du,erinnerst,dich,also
erinnerst,dich,also,nicht
dich,also,nicht,sagte
also,nicht,sagte,er
nicht,sagte,er,es
sagte,er,es,ist
er,es,ist,nicht
es,ist,nicht,ganz
ist,nicht,ganz,genau
nicht,ganz,genau,hier
ganz,genau,hier,eine
genau,hier,eine,andere
hier,eine,andere,stimme
eine,andere,stimme,musste
andere,stimme,musste,ihm
stimme,musste,ihm,geantwortet
musste,ihm,geantwortet,haben
ihm,geantwortet,haben,denn
geantwortet,haben,denn,er
haben,denn,er,erwiderte
denn,er,erwiderte,doch
er,erwiderte,doch,doch
erwiderte,doch,doch,es
doch,doch,es,ist
doch,es,ist,der
es,ist,der,tag
ist,der,tag,aber
der,tag,aber,hier
tag,aber,hier,ist
aber,hier,ist,nicht
hier,ist,nicht,der
ist,nicht,der,ort
nicht,der,ort,ich
der,ort,ich,ging
ort,ich,ging,weiter
ich,ging,weiter,auf
ging,weiter,auf,die
weiter,auf,die,mauer
auf,die,mauer,zu
die,mauer,zu,ich
mauer,zu,ich,sah
zu,ich,sah,und
ich,sah,und,hörte
sah,und,hörte,noch
und,hörte,noch,immer
hörte,noch,immer,niemanden
noch,immer,niemanden,trotzdem
immer,niemanden,trotzdem,wiederholte
niemanden,trotzdem,wiederholte,der
trotzdem,wiederholte,der,kleine
wiederholte,der,kleine,prinz
der,kleine,prinz,noch
kleine,prinz,noch,einmal
prinz,noch,einmal,natürlich
noch,einmal,natürlich,du
einmal,natürlich,du,wirst
natürlich,du,wirst,sehen
du,wirst,sehen,wo
wirst,sehen,wo,meine
sehen,wo,meine,spur
wo,meine,spur,im
meine,spur,im,sand
spur,im,sand,beginnt
im,sand,beginnt,du
sand,beginnt,du,brauchst
beginnt,du,brauchst,dort
du,brauchst,dort,nur
brauchst,dort,nur,auf
dort,nur,auf,mich
nur,auf,mich,zu
auf,mich,zu,warten
mich,zu,warten,heute
zu,warten,heute,nacht
warten,heute,nacht,werde
heute,nacht,werde,ich
nacht,werde,ich,dort
werde,ich,dort,sein
ich,dort,sein,ich
dort,sein,ich,war
sein,ich,war,noch
ich,war,noch,zwanzig
war,noch,zwanzig,meter
noch,zwanzig,meter,von
zwanzig,meter,von,der
meter,von,der,mauer
von,der,mauer,weg
der,mauer,weg,und
mauer,weg,und,ich
weg,und,ich,sah
und,ich,sah,noch
ich,sah,noch,immer
sah,noch,immer,nichts
noch,immer,nichts,nach
immer,nichts,nach,einem
nichts,nach,einem,kurzen
nach,einem,kurzen,schweigen
einem,kurzen,schweigen,sagte
kurzen,schweigen,sagte,der
schweigen,sagte,der,kleine
sagte,der,kleine,prinz
der,kleine,prinz,du
kleine,prinz,du,hast
prinz,du,hast,gutes
du,hast,gutes,gift
hast,gutes,gift,bist
gutes,gift,bist,du
gift,bist,du,sicher
bist,du,sicher,mich
du,sicher,mich,nicht
sicher,mich,nicht,lange
mich,nicht,lange,leiden
nicht,lange,leiden,zu
lange,leiden,zu,lassen
leiden,zu,lassen,ich
zu,lassen,ich,blieb
lassen,ich,blieb,stehen
ich,blieb,stehen,das
blieb,stehen,das,herz
stehen,das,herz,zog
das,herz,zog,sich
herz,zog,sich,in
zog,sich,in,mir
sich,in,mir,zusammen
in,mir,zusammen,aber
mir,zusammen,aber,noch
zusammen,aber,noch,immer
aber,noch,immer,verstand
noch,immer,verstand,ich
immer,verstand,ich,nicht
verstand,ich,nicht,verschwinde
ich,nicht,verschwinde,jetzt
nicht,verschwinde,jetzt,sagte
verschwinde,jetzt,sagte,er
jetzt,sagte,er,ich
sagte,er,ich,will
er,ich,will,hier
ich,will,hier,wieder
will,hier,wieder,runter
hier,wieder,runter,so
wieder,runter,so,senkte
runter,so,senkte,ich
so,senkte,ich,selbst
senkte,ich,selbst,die
ich,selbst,die,augen
selbst,die,augen,hinab
die,augen,hinab,an
augen,hinab,an,den
hinab,an,den,fuß
an,den,fuß,der
den,fuß,der,mauer
fuß,der,mauer,und
der,mauer,und,sprang
mauer,und,sprang,zur
und,sprang,zur,seite
sprang,zur,seite,da
zur,seite,da,war
seite,da,war,eine
da,war,eine,dieser
war,eine,dieser,gelben
eine,dieser,gelben,schlangen
dieser,gelben,schlangen,die
gelben,schlangen,die,euch
schlangen,die,euch,in
die,euch,in,dreißig
euch,in,dreißig,sekunden
in,dreißig,sekunden,töten
dreißig,sekunden,töten,und
sekunden,töten,und,sie
töten,und,sie,reckte
und,sie,reckte,sich
sie,reckte,sich,dem
